BoroCT2010,count
1000100,1
1000201,859
1000202,563
1000500,4
1000600,1209
1000700,1042
1000800,948
1000900,724
1001001,338
1001002,703
1001200,727
1001300,2902
1001401,876
1001402,1406
1001501,770
1001502,932
1001600,1284
1001800,1628
1002000,1276
1002100,1896
1002201,1282
1002202,518
1002400,1163
1002500,604
1002601,775
1002602,1005
1002700,937
1002800,771
1002900,865
1003001,1612
1003002,936
1003100,1246
1003200,1195
1003300,1013
1003400,1403
1003601,1196
1003602,1051
1003700,796
1003800,1283
1003900,498
1004000,1175
1004100,1317
1004200,1795
1004300,1953
1004400,444
1004500,2678
1004700,1287
1004800,1263
1004900,2287
1005000,1107
1005200,2591
1005400,1850
1005501,1231
1005502,925
1005600,1204
1005700,1263
1005800,2176
1005900,619
1006000,410
1006100,3233
1006200,918
1006300,1055
1006400,1487
1006500,2390
1006600,1212
1006700,1096
1006800,1320
1006900,575
1007000,966
1007100,902
1007200,1386
1007300,1934
1007400,1537
1007500,484
1007600,3675
1007700,1118
1007800,440
1007900,1632
1008000,993
1008100,1590
1008200,1124
1008300,2433
1008400,1763
1008601,218
1008602,94
1008603,199
1008700,1024
1008800,554
1008900,1023
1009000,668
1009100,1547
1009200,1378
1009300,1667
1009400,882
1009500,1383
1009600,1584
1009700,730
1009800,790
1009900,1186
1010000,1035
1010100,3439
1010200,939
1010300,782
1010400,1947
1010601,438
1010602,461
1010800,532
1010900,6533
1011000,845
1011100,1861
1011201,1180
1011202,1555
1011203,1416
1011300,3861
1011401,663
1011402,1146
1011500,2022
1011600,413
1011700,578
1011800,584
1011900,3872
1012000,859
1012100,3441
1012200,326
1012400,502
1012500,2305
1012600,536
1012700,1708
1012800,576
1012900,1163
1013000,347
1013100,1263
1013200,444
1013300,1569
1013400,809
1013500,1041
1013600,491
1013700,1636
1013800,622
1013900,1214
1014000,533
1014200,280
1014300,330
1014401,414
1014402,269
1014500,1482
1014601,510
1014602,491
1014700,969
1014801,1559
1014802,729
1014900,1385
1015001,231
1015002,212
1015100,499
1015200,559
1015300,1590
1015400,493
1015500,444
1015601,570
1015602,633
1015700,928
1015801,480
1015802,923
1015900,1137
1016001,186
1016002,528
1016100,794
1016200,1805
1016300,519
1016400,2181
1016500,802
1016600,1830
1016700,934
1016800,1066
1016900,937
1017000,1009
1017100,791
1017200,2397
1017300,1012
1017401,950
1017402,1102
1017500,733
1017700,927
1017800,1688
1017900,832
1018000,1892
1018100,798
1018200,3282
1018300,1527
1018400,1426
1018500,1314
1018600,1750
1018700,1006
1018800,1772
1018900,2066
1019000,1753
1019100,995
1019200,1372
