BoroCT2010,count
1000201,921
1000202,636
1000500,1
1000600,1302
1000700,1078
1000800,811
1000900,594
1001001,494
1001002,950
1001200,877
1001300,3378
1001401,927
1001402,1526
1001501,844
1001502,1153
1001600,1259
1001800,1449
1002000,1342
1002100,1976
1002201,1215
1002202,776
1002400,1113
1002500,631
1002601,865
1002602,1125
1002700,958
1002800,926
1002900,809
1003001,1669
1003002,1183
1003100,1536
1003200,1445
1003300,1060
1003400,1643
1003601,1063
1003602,1398
1003700,1159
1003800,1481
1003900,612
1004000,1287
1004100,1417
1004200,1354
1004300,1574
1004400,462
1004500,3512
1004700,2242
1004800,1407
1004900,2328
1005000,1693
1005200,2482
1005400,2873
1005501,1748
1005502,995
1005600,1513
1005700,1610
1005800,2411
1005900,684
1006000,394
1006100,3051
1006200,867
1006300,1255
1006400,1331
1006500,2834
1006600,1563
1006700,1348
1006800,1470
1006900,527
1007000,1122
1007100,1231
1007200,1701
1007300,2084
1007400,1920
1007500,914
1007600,5018
1007700,1262
1007800,609
1007900,1492
1008000,1326
1008100,1775
1008200,1425
1008300,2057
1008400,1948
1008601,260
1008602,118
1008603,291
1008700,1238
1008800,752
1008900,1435
1009000,817
1009100,1794
1009200,1831
1009300,1601
1009400,1299
1009500,1710
1009600,1759
1009700,831
1009800,849
1009900,2318
1010000,1347
1010100,3403
1010200,1163
1010300,964
1010400,1866
1010601,521
1010602,532
1010800,696
1010900,7441
1011000,965
1011100,2117
1011201,1069
1011202,1174
1011203,1448
1011300,4496
1011401,729
1011402,2008
1011500,1925
1011600,509
1011700,793
1011800,709
1011900,3748
1012000,1081
1012100,3574
1012200,445
1012400,639
1012500,2439
1012600,687
1012700,1831
1012800,804
1012900,882
1013000,491
1013100,1637
1013200,717
1013300,1459
1013400,1138
1013500,761
1013600,709
1013700,1663
1013800,837
1013900,1116
1014000,632
1014200,421
1014300,151
1014401,587
1014402,422
1014500,1312
1014601,797
1014602,709
1014700,959
1014801,1442
1014802,663
1014900,1405
1015001,345
1015002,312
1015100,584
1015200,669
1015300,1405
1015400,671
1015500,398
1015601,769
1015602,668
1015700,1036
1015801,686
1015802,843
1015900,1369
1016001,294
1016002,558
1016100,939
1016200,2162
1016300,709
1016400,2186
1016500,871
1016600,1964
1016700,1137
1016800,1061
1016900,1180
1017000,927
1017100,770
1017200,2344
1017300,1379
1017401,1154
1017402,1349
1017500,874
1017700,1352
1017800,1120
1017900,916
1018000,2206
1018100,1007
1018200,3121
1018300,1757
1018400,1605
1018500,1073
1018600,2254
1018700,1197
1018800,1991
1018900,2609
1019000,1646
1019100,1092
1019200,1475
1019300,1750
1019400,1647
1019500,1272
1019600,4222
1019701,251
1019702,916
1019800,906
1019900,1031
1020000,1464
1020101,304
1020102,1029
1020300,307
1020500,238
1020600,1960
1020701,490
1020800,1641
1020901,1970
1021000,1704
1021100,1602
1021200,1384
1021303,1549
1021400,1224
1021500,1425
1021600,1884
1021703,857
1021800,1487
1021900,1763
1022000,1029
1022102,890
1022200,2452
1022301,2025
1022302,714
1022400,1472
1022500,1202
1022600,1321
1022700,1652
1022800,1413
1022900,2665
1023000,1907
1023100,2023
1023200,2233
1023300,1678
1023400,1361
1023501,1138
1023502,1623
1023600,666
1023700,1435
1023801,181
1023802,192
1023900,1398
1024000,1001
1024100,1209
1024200,731
1024301,1269
1024302,2170
1024500,1789
1024700,1041
1024900,932
1025100,1383
1025300,1872
1025500,357
1025700,1582
1025900,2092
1026100,2481
1026300,1890
1026500,968
1026700,375
1026900,1166
1027100,1673
1027300,402
1027500,70
1027700,1208
1027900,1084
1028100,551
1028300,691
1028500,1167
1028700,303
1029100,2061
1029300,1488
1029500,988
1029900,482
1030300,551
1030700,450
1030900,1562
1031100,248
1031703,575
1031704,461
1031900,640
2000100,633
2000200,684
2000400,538
2001600,1256
2001900,524
2002000,2096
2002300,2873
2002400,204
2002500,1872
2002701,1639
2002702,1691
2002800,965
2003100,892
2003300,745
2003500,692
2003700,503
2003800,945
2003900,2144
2004001,1108
2004100,1794
2004200,1982
2004300,3314
2004400,968
2004600,1888
2004800,1959
2005001,1440
2005002,1695
2005100,2079
2005200,735
2005300,1304
2005400,1426
2005600,1018
2005902,1082
2006000,751
2006100,776
2006200,2062
2006300,1523
2006400,814
2006500,3211
2006700,2483
2006800,1053
2006900,1390
2007000,988
2007100,1436
2007200,1282
2007300,2310
2007400,572
2007500,921
2007600,1024
2007700,1558
2007800,1030
2007900,1668
2008300,1323
2008400,960
2008500,1714
2008600,1457
2008700,1120
2008900,1517
2009000,513
2009200,1192
2009300,1585
2009600,707
2009800,700
2011000,55
2011502,2965
2011700,1861
2011800,349
2011900,1374
2012101,710
2012102,749
2012300,597
2012500,1022
2012701,1224
