BoroCT2010,boro,center_x,center_y
5000900,5000900,-74.08285639240788,40.642204159631305
5012500,5012500,-74.11885158390683,40.628685410094604
5013301,5013301,-74.11891607480783,40.63559655869463
5019700,5019700,-74.13523956308079,40.616983350373474
5002002,5002002,-74.07029601064974,40.601543117813236
5006400,5006400,-74.07849906043498,40.59724135019745
5007400,5007400,-74.06512232839121,40.5944214704186
5018701,5018701,-74.1272384020492,40.610690967873
1002202,1002202,-73.98114118388153,40.72125969771277
1003200,1003200,-73.98370854854821,40.72555342330404
1006800,1006800,-73.98407900729674,40.74043721639785
1008900,1008900,-74.00267842998039,40.74463815638703
1009600,1009600,-73.98088602090527,40.756374995437746
1009800,1009800,-73.9677747247446,40.75578800678498
1010000,1010000,-73.97123160578754,40.758065666080306
1010200,1010200,-73.97444936941007,40.759423769104906
1010400,1010400,-73.97767288525621,40.760778985942544
1011201,1011201,-73.97534573293183,40.76397790109921
1011202,1011202,-73.97213117780987,40.76260394828758
1011203,1011203,-73.96888652159524,40.76123046821023
1011300,1011300,-73.98786993552409,40.75477510305118
1011402,1011402,-73.96727887628012,40.763482577323394
1013000,1013000,-73.96473353311798,40.77273604483996
1014000,1014000,-73.9582081907299,40.77591397021209
1014200,1014200,-73.96142518718342,40.77727108727673
1014601,1014601,-73.9521609494616,40.777191726587034
1014602,1014602,-73.95097538846903,40.77881473538152
1014801,1014801,-73.9560728839115,40.77884100022033
1014802,1014802,-73.95443077855249,40.78109303146149
1015300,1015300,-73.9806642144758,40.77485774580123
1015400,1015400,-73.94912421538389,40.78134921988312
1015601,1015601,-73.9475023103717,40.78356859758995
1015602,1015602,-73.94632439328996,40.78518161904469
1016001,1016001,-73.95532231015123,40.78563492787066
1018400,1018400,-73.94506538123846,40.79968518152063
1019000,1019000,-73.94761934577207,40.80196167255737
1020101,1020101,-73.96020490667442,40.80643575318581
1020102,1020102,-73.95663296040834,40.80505127298963
1020600,1020600,-73.9387834148975,40.80829130893069
1021800,1021800,-73.95252423962162,40.80322208396285
1022000,1022000,-73.95065706723904,40.80578370209262
1022900,1022900,-73.95156028153107,40.82589510727382
1023400,1023400,-73.9386704737324,40.823731438436745
1023900,1023900,-73.94106406941914,40.83233764344091
1024900,1024900,-73.93644959492227,40.83912893156252
1025300,1025300,-73.93837896495893,40.84289495175234
1025700,1025700,-73.95407385177923,40.8084358363803
1026100,1026100,-73.93445497773078,40.8457845106215
1026300,1026300,-73.93747541777692,40.84682256201547
1026700,1026700,-73.92863317728316,40.8503369428534
1026900,1026900,-73.93097473824687,40.85055674174435
1027700,1027700,-73.92738846730192,40.85544415332334
3000200,3000200,-74.01108902967745,40.65325802697631
3000501,3000501,-73.99470020274158,40.69581506534232
3002000,3002000,-74.01596094232217,40.648055910487976
3004100,3004100,-73.98505364478238,40.68659967004523
3005201,3005201,-74.0382274489447,40.62160042349982
3005202,3005202,-74.0389132778065,40.61929530770013
3005800,3005800,-74.03218876587195,40.61908863700751
3006000,3006000,-74.03160435047961,40.62208285474341
3006200,3006200,-74.03044579612002,40.62491073536432
3006400,3006400,-74.02880928233684,40.6289252993465
3006500,3006500,-73.99945287511795,40.679082453221966
3006700,3006700,-73.997223068948,40.684175889130266
3006900,3006900,-73.99170117455049,40.68523471196392
3007400,3007400,-74.01702315989397,40.64184178424999
3007600,3007600,-74.01469739616849,40.644102026754
3007800,3007800,-74.01236609322058,40.646342214551815
3008000,3008000,-74.01003794119238,40.648579945589766
3009800,3009800,-74.00811527684104,40.643776214044024
3010000,3010000,-74.01044567280597,40.64153539283543
3010100,3010100,-73.99983864276989,40.65838241537062
3010200,3010200,-74.01278732337644,40.6392846199223
3010400,3010400,-74.00838156420689,40.63662395174275
3010600,3010600,-74.0060398218732,40.638874744280564
3010800,3010800,-74.00371039525645,40.64111606336706
3011000,3011000,-73.99277164821656,40.64457572421336
3011400,3011400,-73.99921187975214,40.639423233721395
3011600,3011600,-74.00364916250034,40.63587287938421
3011700,3011700,-73.99330119126121,40.66855766944995
3011800,3011800,-74.01149012679542,40.63510459131044
3012100,3012100,-73.99104925477414,40.671479057769815
3012801,3012801,-74.01330349270056,40.630801730915366
3013000,3013000,-74.02138414934923,40.63258738488326
3013200,3013200,-74.01565121924733,40.62799353153591
3013300,3013300,-73.98130740376786,40.67518067756637
3013600,3013600,-74.02256683778393,40.62688515959196
3013700,3013700,-73.98532313404121,40.67039801897623
3013800,3013800,-74.02551746390257,40.62431102019059
3013900,3013900,-73.98733692946469,40.667989309826815
3015100,3015100,-73.98258519696464,40.6656891026872
3015300,3015300,-73.98057595912205,40.66810050272638
3015500,3015500,-73.97856126498043,40.670513539546846
3015700,3015700,-73.97641673491256,40.6730523561162
3016500,3016500,-73.97404364168683,40.66997303372357
3017000,3017000,-74.01263375926982,40.61013328413653
3017200,3017200,-74.01034672221006,40.608882561448965
3017800,3017800,-74.00472383030629,40.606968410546415
3018000,3018000,-74.00715142969393,40.60830021435598
3018200,3018200,-74.00268132739494,40.6124597436561
3018400,3018400,-74.00714469173607,40.613705408359266
3018600,3018600,-74.00510623084014,40.61564401458262
3018800,3018800,-74.00273955199397,40.617477727231055
3019000,3019000,-74.00038575750013,40.621037975163816
3019200,3019200,-73.99892794827562,40.62845847720438
3019400,3019400,-74.00110735724878,40.625836698554224
3019500,3019500,-73.96749973396257,40.69141005392631
3019600,3019600,-74.00418495454015,40.62342334723503
3019700,3019700,-73.96674664113291,40.68800234117686
3019800,3019800,-74.0066178094885,40.61935911155001
3020100,3020100,-73.96338212106276,40.68384857083953
3020400,3020400,-74.01322383808758,40.623350134485115
3020800,3020800,-74.00976758686667,40.62597626621122
3021000,3021000,-74.0081562688571,40.62762623485222
3021200,3021200,-74.00584978283436,40.62947426820198
3021400,3021400,-74.00318126603482,40.63161011676464
3021600,3021600,-73.99976955991968,40.63279488883969
3021800,3021800,-73.99782272848313,40.63435397251083
3021900,3021900,-73.95525892346373,40.67197396653498
3022000,3022000,-73.99555963651578,40.6361634522527
3022100,3022100,-73.95435959830232,40.67613555459846
3022200,3022200,-73.99296367300391,40.63823942612149
3022400,3022400,-73.99031192730233,40.640515628756376
3022600,3022600,-73.98634766909447,40.641984238012654
3022700,3022700,-73.95724853901706,40.68150870248316
3022800,3022800,-73.98152984885162,40.639124375000705
3022900,3022900,-73.95676155084912,40.685131537201286
3023100,3023100,-73.96083811318135,40.685786575608404
3023200,3023200,-73.98622069852308,40.6360996901878
3023400,3023400,-73.98794058628965,40.63387114592755
3023500,3023500,-73.95778505544959,40.6925128897178
3023600,3023600,-73.98968741218519,40.63219050747869
3023800,3023800,-73.99143803394976,40.63051157491252
3024000,3024000,-73.9931859102351,40.62883154011531
3024200,3024200,-73.99280960002484,40.62586777717315
3024500,3024500,-73.95190111786708,40.682880561872615
3024600,3024600,-73.98116867074928,40.61817184286586
3024700,3024700,-73.94929550256896,40.6794025138272
3024800,3024800,-73.98999324400172,40.62136297383097
3024900,3024900,-73.9483904331583,40.68298334654182
3025000,3025000,-73.9958383680396,40.62362568020303
3025200,3025200,-73.99213927219276,40.61982909349487
3025400,3025400,-73.98384473257973,40.616697122182785
3025600,3025600,-73.98565910357163,40.61499123136452
3025800,3025800,-73.98740986796417,40.613288323149035
3026000,3026000,-73.9923455789624,40.61691716533966
3026200,3026200,-73.99707867441553,40.61872853649706
3026300,3026300,-73.9451317366862,40.68946843761688
3026400,3026400,-73.99748142458294,40.61486775558119
3026600,3026600,-73.99032533432114,40.61263017177678
3026700,3026700,-73.94403810977435,40.68397283844256
3026800,3026800,-73.99036213418684,40.61044970458319
3026900,3026900,-73.94331715813638,40.68128262699693
3027000,3027000,-73.98998581131053,40.605859618932804
3027100,3027100,-73.93698300105855,40.678751759820926
3027200,3027200,-73.99273820654692,40.608176492122126
3027300,3027300,-73.93743841604412,40.681084158055626
3027400,3027400,-73.99529225595789,40.61094929891388
3027600,3027600,-73.99948904503302,40.61089667223666
3027800,3027800,-74.00122089801256,40.60685901431387
3027900,3027900,-73.93934453792906,40.68975915088395
3028400,3028400,-73.99894268845244,40.60567456252634
3028501,3028501,-73.94209150034057,40.69942646906501
3028800,3028800,-73.99656252648536,40.60451111667578
3029000,3029000,-73.99434790915778,40.60317376409415
3029100,3029100,-73.93354110730886,40.69042696984501
3029300,3029300,-73.9329582527734,40.68749666614619
3029500,3029500,-73.93237575594827,40.68456604560313
3029600,3029600,-73.99302525243094,40.60095243554765
3029700,3029700,-73.93161776914653,40.68127263862802
3029800,3029800,-73.98790817140197,40.60082634264845
3030000,3030000,-73.98874423680589,40.59740283395823
3030200,3030200,-73.99064720137174,40.5957120318048
3030500,3030500,-73.95906251055509,40.677318929773975
3030900,3030900,-73.9329960418759,40.676106874022125
3031100,3031100,-73.93896899487925,40.67642702141409
3031701,3031701,-73.95012377120432,40.67386684280743
3032300,3032300,-73.95507438452728,40.66654744552628
3032600,3032600,-73.98820826942602,40.576528785191826
3032900,3032900,-73.94841938463435,40.66326351316954
3033100,3033100,-73.9420077900157,40.66415833756678
3033300,3033300,-73.94252560341202,40.665837469615056
3033500,3033500,-73.94238907915269,40.66759406344181
3033700,3033700,-73.94218171521872,40.66940143201797
3033900,3033900,-73.94201461565325,40.671211725870656
3034100,3034100,-73.9445866378118,40.673566019710044
3034200,3034200,-73.99686304298099,40.57410777215842
3036300,3036300,-73.91700926991226,40.67217222407828
3036502,3036502,-73.90766080867814,40.6746618271956
3038800,3038800,-73.96925155364833,40.592924889097944
3039600,3039600,-73.96970671387619,40.597349675335394
3039700,3039700,-73.91914086709714,40.68894895546409
3039900,3039900,-73.91755347974387,40.69023566876076
3040000,3040000,-73.9761222369058,40.59780602900338
3040100,3040100,-73.9127408490325,40.686459419384455
3040400,3040400,-73.98541934594415,40.60218515549893
3040600,3040600,-73.9823213547355,40.600509212526106
3040800,3040800,-73.97913561941246,40.60119124983375
3041300,3041300,-73.91061991046557,40.68981452429471
3041401,3041401,-73.97106554508456,40.601706175763915
3041500,3041500,-73.91438994976043,40.69194907756969
3041700,3041700,-73.91791777272714,40.693762284449335
3041800,3041800,-73.96485443332253,40.60539629219154
3041900,3041900,-73.92103301724437,40.69532318453326
3042000,3042000,-73.96434091797732,40.609236286760684
3042100,3042100,-73.92403831780618,40.69702919862803
3042600,3042600,-73.9801890184952,40.60567517601118
3042700,3042700,-73.92719149332346,40.7036831703226
3042800,3042800,-73.9843266931899,40.605645644274354
3042900,3042900,-73.92345587028429,40.70179922802429
3043000,3043000,-73.98420348954318,40.60924729972436
3043100,3043100,-73.91969795882783,40.69966047718306
3043200,3043200,-73.98068722057523,40.61067146615145
3043300,3043300,-73.91593860073002,40.69752207306228
3043400,3043400,-73.97693755572494,40.61005044625658
3043500,3043500,-73.91218077261853,40.69538321927524
3043600,3043600,-73.97785698776825,40.61312983663765
3043700,3043700,-73.90842414700784,40.693245099177076
3043900,3043900,-73.90930760075003,40.69747071118865
3044000,3044000,-73.97097362079563,40.61303611972836
3044100,3044100,-73.91405196249096,40.70142272803013
3044200,3044200,-73.9655954554364,40.61239668291792
3044300,3044300,-73.91668570226717,40.703304364720715
3044400,3044400,-73.96932211259389,40.61576664872264
3044600,3044600,-73.97605874619943,40.61522845001398
3045200,3045200,-73.9681618425926,40.62017261428281
3045400,3045400,-73.96500244686779,40.618682916065985
3045600,3045600,-73.96662065538631,40.62616160687334
3045800,3045800,-73.96900350485988,40.62569684239984
3046000,3046000,-73.96553068487707,40.631828197474505
3046400,3046400,-73.97840475625709,40.62464067289325
3047000,3047000,-73.98673621762414,40.62559128133586
3047200,3047200,-73.98412893219775,40.62704092621537
3047400,3047400,-73.98236609609177,40.62868355244118
3047600,3047600,-73.98057093136677,40.630561471548084
3048100,3048100,-73.93849910398643,40.71386055472786
3048600,3048600,-73.97842544369924,40.63891926952775
3048800,3048800,-73.97620889452524,40.64047722957832
3049500,3049500,-73.94335676881427,40.712362444220055
3049600,3049600,-73.98043775221494,40.6436871103678
3049800,3049800,-73.98268105268637,40.64542947685522
3049900,3049900,-73.94687310022208,40.72090776052549
3050300,3050300,-73.94746239379242,40.71220179591635
3050500,3050500,-73.94494531638178,40.70805194946454
3050700,3050700,-73.94700771875465,40.70140964900243
3050801,3050801,-73.960736076148,40.6512354303421
3051001,3051001,-73.95976766384894,40.64612181910071
3051400,3051400,-73.9614283821521,40.64279184045747
3051601,3051601,-73.9567122771571,40.63862512990226
3051602,3051602,-73.95814393844297,40.64161492710661
3051700,3051700,-73.9545000338882,40.7206531051224
3051800,3051800,-73.96079587895524,40.63798689119917
3052000,3052000,-73.96418578650116,40.63743631873061
3052600,3052600,-73.96667693873579,40.63646860731008
3052800,3052800,-73.96260531778607,40.630842965162444
3053000,3053000,-73.96373548622462,40.627358542657404
3053100,3053100,-73.95416971592216,40.700729122567296
3053200,3053200,-73.96025535977805,40.62621972963665
3053300,3053300,-73.9573605464036,40.703767442344585
3053400,3053400,-73.96283005481335,40.6225824064059
3053800,3053800,-73.95683501682203,40.61819845341387
3054200,3054200,-73.9609788044048,40.61280272201947
3054400,3054400,-73.95718994736805,40.6132195345853
3054800,3054800,-73.94837723110932,40.609252575994965
3055000,3055000,-73.95231893178202,40.608735872404104
3055200,3055200,-73.95625915955482,40.60830942508691
3055300,3055300,-73.95923581472263,40.716457677616226
3055800,3055800,-73.9553779232204,40.60365323297621
3056000,3056000,-73.95143593667717,40.60408562381341
3056200,3056200,-73.94750341358161,40.604518292599536
3056400,3056400,-73.94337361164396,40.606915731678626
3056500,3056500,-73.95776197654452,40.730217019042634
3056600,3056600,-73.94140310303077,40.60285231077911
3056800,3056800,-73.93781885647454,40.60267195796099
3056900,3056900,-73.95236746448646,40.72376698780375
3057000,3057000,-73.93688257236951,40.59926667142897
3057100,3057100,-73.94761873760285,40.72478391592137
