date,f_high,f_avg,f_low,dew_high,dew_avg,dew_low,h_high,h_avg,h_low,slp_high,slp_avg,slp_low,visbility_high,visbility_avg,visbility_low,wind_high,wind_avg,wind_low,precip,events,year,month,precip_is_T,is_rain,is_fog,is_snow,is_thunderstorm
1,42.0,37.0,32.0,32.0,30.0,28.0,85.0,74.0,62.0,30.2,30.03,29.83,10.0,10.0,8.0,9.0,3.0,10.0,0.0,,2006,1,False,False,False,False,False
2,48.0,44.0,39.0,38.0,34.0,29.0,92.0,71.0,49.0,30.24,30.15,29.93,10.0,8.0,4.0,18.0,5.0,24.0,0.63,Rain,2006,1,False,True,False,False,False
3,40.0,37.0,33.0,38.0,33.0,26.0,92.0,84.0,75.0,30.05,29.93,29.83,10.0,7.0,2.0,28.0,15.0,41.0,1.13,Rain,2006,1,False,True,False,False,False
4,38.0,34.0,29.0,36.0,26.0,19.0,85.0,72.0,59.0,30.09,29.96,29.79,10.0,10.0,4.0,15.0,7.0,20.0,0.0,,2006,1,False,False,False,False,False
5,50.0,44.0,37.0,38.0,35.0,32.0,92.0,71.0,50.0,29.81,29.71,29.63,10.0,6.0,2.0,15.0,5.0,21.0,0.05,Rain,2006,1,False,True,False,False,False
6,43.0,37.0,30.0,33.0,24.0,14.0,73.0,60.0,47.0,29.82,29.72,29.67,10.0,10.0,10.0,17.0,6.0,25.0,0.0,,2006,1,False,False,False,False,False
7,35.0,30.0,25.0,19.0,14.0,11.0,60.0,51.0,41.0,29.99,29.93,29.84,10.0,10.0,10.0,15.0,7.0,23.0,0.0,,2006,1,False,False,False,False,False
8,46.0,40.0,34.0,35.0,25.0,19.0,70.0,56.0,41.0,30.1,30.04,29.95,10.0,10.0,10.0,13.0,5.0,17.0,0.0,,2006,1,False,False,False,False,False
9,60.0,52.0,43.0,39.0,36.0,30.0,76.0,60.0,44.0,30.25,30.01,29.92,10.0,10.0,10.0,15.0,8.0,24.0,0.0,,2006,1,False,False,False,False,False
10,49.0,45.0,41.0,31.0,28.0,26.0,62.0,52.0,42.0,30.5,30.42,30.28,10.0,10.0,10.0,10.0,6.0,16.0,0.0,,2006,1,False,False,False,False,False
11,52.0,47.0,42.0,50.0,42.0,30.0,96.0,79.0,62.0,30.4,30.09,29.87,10.0,4.0,1.0,14.0,4.0,21.0,0.23,Rain,2006,1,False,True,False,False,False
12,57.0,51.0,45.0,45.0,36.0,31.0,89.0,63.0,36.0,30.03,29.99,29.89,10.0,10.0,10.0,15.0,7.0,20.0,0.0,,2006,1,False,False,False,False,False
13,54.0,49.0,43.0,52.0,43.0,39.0,96.0,81.0,66.0,30.02,29.9,29.62,10.0,4.0,1.0,12.0,3.0,17.0,0.0,,2006,1,False,False,False,False,False
14,57.0,44.0,31.0,55.0,49.0,26.0,100.0,91.0,82.0,29.61,29.3,29.14,10.0,5.0,1.0,18.0,9.0,36.0,1.17,Rain,2006,1,False,True,False,False,False
15,32.0,24.0,16.0,25.0,12.0,-1.0,92.0,62.0,32.0,29.83,29.47,29.22,10.0,6.0,0.0,31.0,13.0,39.0,0.12,"Fog , Snow",2006,1,False,False,True,True,False
16,32.0,24.0,16.0,9.0,5.0,1.0,54.0,44.0,33.0,30.01,29.92,29.83,10.0,10.0,10.0,16.0,8.0,24.0,0.0,,2006,1,False,False,False,False,False
17,44.0,35.0,26.0,39.0,21.0,8.0,82.0,59.0,35.0,30.18,30.1,29.98,10.0,9.0,2.0,14.0,6.0,20.0,0.16,Rain,2006,1,False,True,False,False,False
18,58.0,47.0,36.0,55.0,43.0,19.0,93.0,69.0,44.0,30.01,29.62,29.4,10.0,6.0,2.0,28.0,12.0,41.0,0.59,Rain,2006,1,False,True,False,False,False
19,47.0,41.0,34.0,27.0,21.0,18.0,56.0,47.0,37.0,30.35,30.23,30.04,10.0,10.0,10.0,17.0,8.0,23.0,0.0,,2006,1,False,False,False,False,False
20,61.0,52.0,42.0,36.0,32.0,28.0,62.0,49.0,36.0,30.21,30.16,30.1,10.0,10.0,10.0,16.0,8.0,23.0,0.0,,2006,1,False,False,False,False,False
21,63.0,51.0,38.0,42.0,32.0,18.0,61.0,53.0,44.0,30.42,30.11,29.89,10.0,10.0,10.0,26.0,10.0,39.0,0.0,,2006,1,False,False,False,False,False
22,43.0,38.0,33.0,26.0,16.0,11.0,52.0,40.0,27.0,30.7,30.59,30.45,10.0,10.0,10.0,15.0,7.0,23.0,0.0,,2006,1,False,False,False,False,False
23,40.0,38.0,35.0,38.0,35.0,28.0,92.0,76.0,59.0,30.43,30.09,29.92,10.0,7.0,2.0,14.0,4.0,17.0,0.68,"Rain , Snow",2006,1,False,True,False,True,False
24,46.0,41.0,35.0,30.0,26.0,15.0,76.0,54.0,31.0,29.94,29.82,29.6,10.0,10.0,10.0,14.0,7.0,18.0,0.0,,2006,1,False,False,False,False,False
25,42.0,38.0,34.0,32.0,26.0,18.0,82.0,65.0,47.0,29.85,29.65,29.56,10.0,10.0,10.0,22.0,10.0,32.0,0.0,,2006,1,False,False,False,False,False
26,35.0,31.0,26.0,19.0,14.0,10.0,56.0,47.0,38.0,30.45,30.15,29.86,10.0,10.0,10.0,21.0,14.0,30.0,0.0,,2006,1,False,False,False,False,False
27,43.0,34.0,24.0,15.0,10.0,4.0,60.0,40.0,19.0,30.57,30.47,30.37,10.0,10.0,10.0,16.0,8.0,22.0,0.0,,2006,1,False,False,False,False,False
28,58.0,48.0,37.0,27.0,20.0,14.0,40.0,33.0,26.0,30.35,30.21,30.11,10.0,10.0,10.0,13.0,6.0,21.0,0.0,,2006,1,False,False,False,False,False
29,53.0,49.0,44.0,49.0,39.0,26.0,93.0,66.0,38.0,30.12,29.85,29.69,10.0,8.0,2.0,13.0,5.0,20.0,0.14,Rain,2006,1,False,True,False,False,False
30,64.0,53.0,41.0,48.0,43.0,39.0,96.0,70.0,43.0,29.83,29.78,29.7,10.0,6.0,2.0,20.0,8.0,28.0,0.01,,2006,1,False,False,False,False,False
31,42.0,41.0,39.0,39.0,35.0,28.0,92.0,81.0,70.0,29.82,29.71,29.6,10.0,9.0,2.0,24.0,10.0,33.0,0.08,Rain,2006,1,False,True,False,False,False
1,41.0,39.0,36.0,27.0,23.0,21.0,64.0,55.0,45.0,29.99,29.94,29.82,10.0,10.0,10.0,18.0,8.0,26.0,0.0,,2006,2,False,False,False,False,False
2,52.0,45.0,38.0,41.0,34.0,25.0,82.0,66.0,50.0,30.03,29.98,29.92,10.0,9.0,6.0,17.0,7.0,24.0,0.0,,2006,2,False,False,False,False,False
3,62.0,54.0,46.0,55.0,47.0,36.0,96.0,75.0,53.0,29.89,29.71,29.57,10.0,7.0,2.0,18.0,8.0,31.0,0.58,Rain,2006,2,False,True,False,False,False
4,53.0,48.0,43.0,52.0,41.0,35.0,100.0,78.0,56.0,29.91,29.66,29.35,10.0,5.0,1.0,21.0,9.0,26.0,0.23,Rain,2006,2,False,True,False,False,False
5,55.0,46.0,37.0,52.0,36.0,19.0,93.0,69.0,45.0,29.59,29.4,29.28,10.0,9.0,2.0,18.0,9.0,29.0,0.15,Rain,2006,2,False,True,False,False,False
6,39.0,37.0,34.0,20.0,16.0,13.0,56.0,46.0,35.0,29.83,29.74,29.62,10.0,10.0,10.0,23.0,12.0,37.0,0.0,,2006,2,False,False,False,False,False
7,43.0,37.0,31.0,19.0,17.0,14.0,54.0,45.0,36.0,30.01,29.9,29.83,10.0,10.0,10.0,16.0,9.0,25.0,0.0,,2006,2,False,False,False,False,False
8,36.0,32.0,28.0,18.0,15.0,11.0,58.0,48.0,38.0,30.05,30.01,29.96,10.0,10.0,10.0,14.0,7.0,17.0,0.0,,2006,2,False,False,False,False,False
9,36.0,30.0,23.0,15.0,8.0,0.0,58.0,41.0,23.0,30.06,30.01,29.97,10.0,10.0,10.0,14.0,9.0,21.0,0.0,,2006,2,False,False,False,False,False
10,37.0,32.0,26.0,17.0,14.0,7.0,58.0,50.0,42.0,30.17,30.11,30.07,10.0,10.0,10.0,17.0,7.0,24.0,0.0,,2006,2,False,False,False,False,False
11,36.0,32.0,28.0,30.0,25.0,14.0,92.0,67.0,42.0,30.14,30.01,29.8,10.0,5.0,0.0,25.0,10.0,36.0,0.2,"Fog , Snow",2006,2,False,False,True,True,False
12,28.0,26.0,23.0,27.0,20.0,10.0,96.0,76.0,55.0,29.82,29.63,29.52,10.0,3.0,0.0,25.0,12.0,38.0,1.66,"Fog , Snow",2006,2,False,False,True,True,False
13,36.0,28.0,19.0,19.0,15.0,10.0,67.0,57.0,47.0,29.95,29.89,29.78,10.0,10.0,10.0,14.0,8.0,21.0,0.0,,2006,2,False,False,False,False,False
14,41.0,35.0,28.0,25.0,20.0,16.0,63.0,56.0,48.0,30.15,30.06,29.97,10.0,10.0,10.0,16.0,7.0,23.0,0.0,,2006,2,False,False,False,False,False
15,56.0,46.0,36.0,29.0,27.0,25.0,64.0,47.0,30.0,30.24,30.19,30.15,10.0,10.0,10.0,13.0,5.0,18.0,0.0,,2006,2,False,False,False,False,False
16,59.0,50.0,40.0,40.0,34.0,27.0,73.0,56.0,38.0,30.29,30.21,30.06,10.0,9.0,6.0,14.0,4.0,23.0,0.0,,2006,2,False,False,False,False,False
17,58.0,45.0,32.0,47.0,31.0,9.0,77.0,52.0,27.0,30.21,29.96,29.74,10.0,10.0,2.0,28.0,12.0,45.0,0.06,Rain,2006,2,False,True,False,False,False
18,35.0,25.0,15.0,19.0,5.0,-8.0,75.0,53.0,31.0,30.33,30.18,30.09,10.0,10.0,4.0,23.0,12.0,33.0,,Snow,2006,2,True,False,False,True,False
19,30.0,23.0,15.0,4.0,-1.0,-4.0,51.0,38.0,24.0,30.41,30.31,30.21,10.0,10.0,10.0,15.0,8.0,22.0,0.0,,2006,2,False,False,False,False,False
20,36.0,29.0,22.0,8.0,5.0,3.0,45.0,37.0,29.0,30.23,30.11,30.02,10.0,10.0,10.0,13.0,6.0,18.0,0.0,,2006,2,False,False,False,False,False
21,41.0,36.0,31.0,16.0,13.0,7.0,51.0,42.0,33.0,30.06,29.97,29.9,10.0,10.0,10.0,17.0,7.0,26.0,0.0,,2006,2,False,False,False,False,False
22,45.0,39.0,32.0,32.0,23.0,14.0,76.0,58.0,39.0,30.12,30.03,29.96,10.0,10.0,10.0,14.0,4.0,17.0,0.0,,2006,2,False,False,False,False,False
23,48.0,43.0,38.0,34.0,32.0,25.0,85.0,67.0,49.0,29.98,29.88,29.78,10.0,8.0,4.0,16.0,6.0,22.0,0.0,,2006,2,False,False,False,False,False
24,42.0,35.0,28.0,24.0,9.0,-1.0,59.0,42.0,25.0,30.33,30.07,29.82,10.0,10.0,10.0,29.0,13.0,40.0,0.0,,2006,2,False,False,False,False,False
25,50.0,39.0,27.0,26.0,13.0,3.0,47.0,38.0,29.0,30.35,30.05,29.75,10.0,10.0,10.0,25.0,9.0,39.0,0.0,,2006,2,False,False,False,False,False
